mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
0.0503178717690842,0.039988857325776866,0.04785509387897212,0.041055215370241996,0.026872629965279456,0.05400674045151435,0.07823156091259391,0.05937477664214964,0.03585905220911549,0.03212898950255903,0.011599392752337115,0.04076589424280104,0.007855797738585319,0.00821362675692335,0.01504620434017975,0.06355609131665145,0.008023953330023753,0.017000915041511494,0.02105021323768383,0.00802904646308338,0.06466281619884343,0.04923584109282583,0.06171054351088272,0.06134516106513799,0.03739998798473988,0.04325048601354932,0.05051714558528335,0.12518687815012028,0.023050373500476628,0.07697972843637343
0.00011818403908285046,0.0003401062855071458,0.00047915599604372313,0.0013095861683341896,0.002279853183021443,0.0006457557340758386,0.0017103430284234938,0.000476761847792698,0.001626259639837633,0.0003754307231648848,0.00018785283611860967,0.004766099483144767,6.79401172850801e-05,0.00017034367371716937,0.0027821909900838026,0.0007839701996007041,0.00013289499538606865,0.0008535055103664483,0.0015511191112052192,0.001010465254231439,0.0001949871563377787,0.0010969495593445555,0.001118139909996362,0.00023014646304761553,0.00033868228793807224,0.0011955432104434527,0.0016870793019448363,0.006353133843748412,0.0006735412675308228,0.004014593180586403
9.31763074887526e-07,8.171806484815666e-05,2.908100556274041e-06,4.3412582880103386e-05,0.00035892369219661825,0.00010557083281024017,0.00012072015516420253,0.00011135122866335775,0.0005938436858006171,0.00010690938671853994,1.5432662646249166e-05,0.0007526084470583495,2.5282380443531112e-05,8.129190731396954e-05,0.00022567439815293318,0.0004659510580521357,2.2993489169400958e-05,0.00013329418267812418,0.00023344841007112338,0.00017525371588413753,1.414388275566628e-05,0.00011720077386860715,2.291213522012378e-05,1.9937599068609592e-05,0.00012476531017846252,9.829081523482794e-05,0.0002018536408468365,0.0006666263269207726,0.00032437319528605814,0.000719993993795163
4.6552229738298057e-07,2.344279787098507e-05,5.300272971751405e-07,6.8123839252991655e-06,0.000144269172812878,3.6489254850592936e-05,3.923251621247701e-05,5.908555608149879e-05,0.0006576013912666314,3.2738287035598514e-05,1.6632483818307043e-06,0.00038877087947936816,8.196397263048252e-06,1.4273501519543995e-05,0.00012942540656239038,7.046162197036131e-05,8.056557937823674e-06,3.258184244978863e-05,0.00012701317246802325,0.00018042724765402382,1.4346804674727983e-06,5.2253172790575626e-05,4.618730390472557e-06,5.158018272725293e-06,0.0001215866541631504,1.3496269398362744e-05,3.266990914681688e-05,0.0002790545111349655,0.00011838694520456017,0.00014959319067937014
7.621062035729515e-08,4.835815884931256e-06,3.4325331146564084e-08,5.07119210422248e-07,5.657622221817768e-05,9.986824469727425e-06,3.4225768214700543e-06,5.890923582587974e-06,0.0001624923010457825,1.2976156125734281e-05,1.364240645543235e-07,6.886890195989296e-05,9.946915413166231e-07,4.104228077370872e-07,1.3819381858673958e-05,7.177292302551336e-06,5.731195756447077e-07,2.3446747796452564e-06,5.8135099845749925e-05,2.599330129221502e-05,4.325586134715127e-08,3.877083386440696e-06,3.8560697664067853e-07,3.1132137870301435e-07,7.351444757964952e-06,1.2765679013625677e-06,2.1673657479500776e-06,1.6053471552720835e-05,1.988967437061221e-05,2.2627040809843408e-05
3.275499699535866e-08,3.008678198977786e-06,2.099270941052298e-08,1.049102422194134e-07,6.550515876541435e-06,3.0522462593374384e-06,2.245220970144291e-07,1.5870336447690787e-06,2.2035611859688615e-05,4.635629340668801e-06,6.976089733474783e-08,8.332617220339265e-06,4.5766315623451743e-07,1.7237393290547668e-07,5.89300964959859e-06,4.225468293713786e-06,4.112209378463989e-07,8.895266533911874e-07,6.371755615194493e-06,4.320525428908491e-06,2.0353381829174792e-08,1.6131739980023213e-06,1.4163267156402932e-07,1.185429414046289e-07,4.839371888310655e-06,6.635368926214658e-07,8.913545705153386e-07,1.194926336881239e-06,5.761008694159441e-06,4.165484998049933e-06
1.937994889893401e-08,1.9960267443908465e-06,1.0917028816436423e-08,6.637535493395949e-08,3.3734984000417855e-06,1.3078035116067072e-06,1.232319610042976e-07,8.80310836211164e-07,1.1549994836285485e-05,2.122274675015717e-06,4.56352219573344e-08,5.062843555767692e-06,3.8805518733925444e-07,1.310446711854582e-07,3.0549814228312867e-06,2.695573884092338e-06,2.9354256531349315e-07,4.4561787441939413e-07,1.0123709946056929e-05,2.1605744282165996e-06,1.1561393117951612e-08,1.1622798316274706e-06,8.363241866503108e-08,6.895040990053175e-08,3.0829901821181384e-06,3.9718222249676346e-07,5.847555617352962e-07,5.728304647748558e-07,2.5180748405749506e-06,2.4481471237521854e-06
1.3325448074196939e-08,1.4102221191627865e-06,6.156875875023055e-09,4.586167356499259e-08,2.48034865690253e-06,8.065249936809712e-07,9.344311656813336e-08,5.495974681715112e-07,7.344288733158044e-06,1.8739884896040836e-06,3.570931003070922e-08,3.509212167417105e-06,3.5777899086462345e-07,1.0227854197796616e-07,1.939339017926661e-06,1.9475553604395123e-06,2.3531085326071391e-07,2.667584940733763e-07,3.757313119502183e-05,1.2586355320550877e-06,7.4207772984879205e-09,9.656689752591033e-07,5.810757225133522e-08,4.43616290568389e-08,2.1487559285842176e-06,2.719066174766456e-07,4.159017637457265e-07,3.3548778151505897e-07,1.1641813480557006e-06,1.450870800865057e-06
1.0778250676348188e-08,1.0519059020049889e-06,3.80148752105412e-09,3.40892647984159e-08,2.0944964495868453e-06,6.102680729652073e-07,8.213785063709407e-08,3.809594007644601e-07,5.319760876400794e-06,2.406790819293854e-06,3.0649166852361875e-08,2.5797998703285675e-06,3.3604165076111923e-07,8.401516952820287e-08,1.5326570723578014e-06,1.5676829518539559e-06,1.9880707494003496e-07,2.0463089420958204e-07,8.477941798039636e-05,8.237277070623273e-07,5.356059724883036e-09,8.845573456179647e-07,4.721947823829304e-08,3.0657696791310625e-08,1.6736574800912541e-06,2.039425036663774e-07,3.1123961401618696e-07,2.1960558553946334e-07,6.149231625056885e-07,9.452323440848547e-07
8.907238754137024e-09,7.693543534503955e-07,2.4967234975134896e-09,2.566440170835024e-08,1.8868344660529971e-06,4.3997911455642337e-07,7.711521938021614e-08,2.90751222613109e-07,4.12222684735791e-06,2.0168688669401134e-06,2.436631226916195e-08,1.9526920709733054e-06,2.9539259874904167e-07,6.917016695609316e-08,1.366997950773525e-06,1.1595309836612504e-06,1.502969777727776e-07,1.7715425340661726e-07,5.16081798919092e-05,5.881178824745428e-07,4.134670066362393e-09,7.816284997644586e-07,4.229618427077467e-08,2.211597905138527e-08,1.3270022499006232e-06,1.5516543529487897e-07,2.326032347112245e-07,1.5842947319053915e-07,4.267489221682855e-07,6.912690412006358e-07
